Name,Amount (USD),Amount (TWD),Amount (INR),Amount (THB),Category,Date,Source,Currency Used
CVS Pharamacy,2.84,91.08,240.15,94.77,Groceries,2024-02-19,Chase Freedom Flex,USD
Cava,12.18,390.6,"1,029.95",406.45,Eating/Drinking Out,2024-02-20,Chase Freedom Flex,USD
99 Ranch,14.34,459.87,"1,212.61",478.53,Groceries,2024-02-21,Chase Freedom Flex,USD
Birkenstock,17.43,558.96,"1,473.90",581.65,Apparel,2024-02-23,Chase Freedom Flex,USD
CVS Pharamacy,1.99,63.82,168.28,66.41,Groceries,2024-02-23,Chase Freedom Flex,USD
Chat Patta,7.57,242.76,640.13,252.61,Eating/Drinking Out,2024-02-24,Chase Freedom Flex,USD
Foxtrot Market,5.68,182.15,480.31,189.54,Eating/Drinking Out,2024-02-25,Chase Freedom Flex,USD
Target,4.93,158.1,416.89,164.52,Groceries,2024-02-25,Chase Freedom Flex,USD
HEB,58.78,1885.02,"4,970.51","1,961.52",Groceries,2024-02-26,Chase Freedom Flex,USD
Target,2.84,91.08,240.15,94.77,Groceries,2024-02-27,Chase Freedom Flex,USD
MyJotBot,9.99,320.37,844.77,333.37,Subscriptions,2024-02-29,Chase Freedom Flex,USD
Target,8.97,287.66,758.51,299.33,Groceries,2024-02-05,Discover It Cashback,USD
O's Cafe,2.96,94.92,250.3,98.78,Eating/Drinking Out,2024-02-05,Discover It Cashback,USD
7-Eleven,1.08,34.63,91.33,36.04,Eating/Drinking Out,2024-02-05,Discover It Cashback,USD
Pearl Street Co-Op Party,15,481.04,"1,268.42",500.56,Entertainment,2024-02-05,Chase Checking,USD
O's Cafe,2.96,94.92,250.3,98.78,Eating/Drinking Out,2024-02-06,Discover It Cashback,USD
Proton VPN,10.73,344.1,907.34,358.07,Subscriptions,2024-02-06,Discover It Cashback,USD
FlixBus,60.67,1945.63,"5,130.33","2,024.59",Travel,2024-02-06,Discover It Cashback,USD
Whataburger,10.14,325.18,857.45,338.38,Eating/Drinking Out,2024-02-07,Discover It Cashback,USD
HEB,31.35,1005.36,"2,650.99","1,046.17",Groceries,2024-02-07,Discover It Cashback,USD
Apple,9.74,312.35,823.63,325.03,Tech,2024-02-08,Discover It Cashback,USD
Target,7.93,254.31,670.57,264.63,Groceries,2024-02-09,Discover It Cashback,USD
Flower Child,16.78,538.12,"1,418.94",559.96,Eating/Drinking Out,2024-02-09,Discover It Cashback,USD
Chat Patta,7.57,242.76,640.13,252.61,Eating/Drinking Out,2024-02-10,Discover It Cashback,USD
CVS Pharmacy,4.59,147.2,388.14,153.17,Groceries,2024-02-10,Discover It Cashback,USD
ATX Gyro,5.95,190.81,503.14,198.55,Eating/Drinking Out,2024-02-11,Discover It Cashback,USD
Kerbey Lane Cafe,14.76,473.34,"1,248.12",492.55,Eating/Drinking Out,2024-02-11,Discover It Cashback,USD
Trader Joe's,76.16,2442.38,"6,440.18","2,541.50",Groceries,2024-02-12,Discover It Cashback,USD
Target,2.97,95.24,251.15,99.11,Groceries,2024-02-13,Discover It Cashback,USD
Disney+,15.14,485.52,"1,280.26",505.23,Subscriptions,2024-02-13,Discover It Cashback,USD
O's Cafe,9.18,294.39,776.27,306.34,Eating/Drinking Out,2024-02-14,Discover It Cashback,USD
Electricity and Internet,99.68,3196.64,"8,429.06","3,326.37",Utilities,2024-02-15,WF Checking,USD
Monthly Service Fee,12,384.83,"1,014.73",400.45,Fees,2024-02-15,Chase Checking,USD
UT Study Abroad Fee,75,2405.18,"6,342.09","2,502.79",Education,2024-02-16,Discover It Cashback,USD
Odessa College,201.75,6469.92,"17,060.21","6,732.50",Education,2024-02-16,Discover It Cashback,USD
Google One,3.19,102.3,269.75,106.45,Subscriptions,2024-02-16,Discover It Cashback,USD
Max,17.31,555.11,"1,463.75",577.64,Subscriptions,2024-02-17,Discover It Cashback,USD
Target,23.3,747.21,"1,970.28",777.53,Groceries,2024-02-18,UFCU Platinum Cashback,USD
Amazon,43.29,1388.27,"3,660.65","1,444.61",Apparel,2024-02-20,Discover It Cashback,USD
Ultra Mobile,28.08,900.5,"2,374.48",937.04,Utilities,2024-02-21,Discover It Cashback,USD
Spotify,11.9,381.62,"1,006.28",397.11,Subscriptions,2024-02-22,Discover It Cashback,USD
Interest,1.48,47.46,125.15,49.39,Fees,2024-02-22,UFCU Platinum Cashback,USD
Insurance Debt Protection,0.25,8.02,21.14,8.34,Fees,2024-02-22,UFCU Platinum Cashback,USD
FlixBus,14.87,476.87,"1,257.42",496.22,Travel,2024-02-24,Discover It Cashback,USD
Netflix,16.77,537.8,"1,418.09",559.62,Subscriptions,2024-02-26,Discover It Cashback,USD
Chipotle,12.02,385.47,"1,016.43",401.11,Eating/Drinking Out,2024-02-28,UFCU Platinum Cashback,USD
Buc-ee's,4.19,134.37,354.31,139.82,Eating/Drinking Out,2024-03-01,Chase Freedom Flex,USD
CopyLeaks,16.99,544.85,"1,436.69",566.96,Subscriptions,2024-03-01,Chase Freedom Flex,USD
Chat Patta,8.71,279.32,736.53,290.66,Eating/Drinking Out,2024-03-02,UFCU Platinum Cashback,USD
RAM Austin Property Management,927.49,29743.68,"78,429.63","30,950.81",Rent,2024-03-02,WF Checking,USD
iCloud+,0.41,13.15,34.67,13.68,Subscriptions,2024-03-03,Discover It Cashback,USD
Kerbey Lane Cafe,16.66,534.27,"1,408.79",555.95,Eating/Drinking Out,2024-03-03,UFCU Platinum Cashback,USD
The Living Tombstone,13.54,434.21,"1,144.96",451.84,Entertainment,2024-03-04,UFCU Platinum Cashback,USD
Target,23.53,754.58,"1,989.72",785.21,Groceries,2024-03-04,UFCU Platinum Cashback,USD
Chick-fil-A,3.24,103.9,273.98,108.12,Eating/Drinking Out,2024-03-04,UFCU Platinum Cashback,USD
Jack in the Box,4.5,144.31,380.53,150.17,Eating/Drinking Out,2024-03-04,Chase Checking,USD
Target,2.84,91.08,240.15,94.77,Groceries,2024-03-05,Discover It Cashback,USD
Clay Pit,20.52,658.06,"1,735.20",684.76,Eating/Drinking Out,2024-03-05,UFCU Platinum Cashback,USD
Camping Reservation,7.2,230.9,608.84,240.27,Travel,2024-03-05,Chase Checking,USD
Proton VPN,10.84,347.63,916.64,361.74,Subscriptions,2024-03-06,Discover It Cashback,USD
O's Cafe,5.76,184.72,487.07,192.21,Eating/Drinking Out,2024-03-06,Discover It Cashback,USD
Up & Atom,5.2,166.76,439.72,173.53,Eating/Drinking Out,2024-03-06,UFCU Platinum Cashback,USD
Birkenstock,17.43,558.96,"1,473.90",581.65,Apparel,2024-03-07,Chase Freedom Flex,USD
Uber,6.35,203.64,536.96,211.9,Travel,2024-03-07,Chase Freedom Flex,USD
Uber,1,32.07,84.56,33.37,Travel,2024-03-07,Chase Freedom Flex,USD
Taco Bell,9.58,307.22,810.1,319.69,Eating/Drinking Out,2024-03-07,Discover It Cashback,USD
Buc-ee's,1.07,34.31,90.48,35.71,Eating/Drinking Out,2024-03-07,Discover It Cashback,USD
Kroger,14.95,479.43,"1,264.19",498.89,Groceries,2024-03-07,UFCU Platinum Cashback,USD
Ray Robert Lake State Park,14,448.97,"1,183.86",467.19,Entertainment,2024-03-10,Chase Freedom Flex,USD
FlixBus,14.87,476.87,"1,257.42",496.22,Travel,2024-03-10,Discover It Cashback,USD
The Saucy Hibachi,9.09,291.51,768.66,303.34,Eating/Drinking Out,2024-03-11,UFCU Platinum Cashback,USD
Walmart,59.47,1907.14,"5,028.85","1,984.54",Apparel,2024-03-13,UFCU Platinum Cashback,USD
