Name,Amount (USD),Amount (TWD),Amount (INR),Amount (THB),Category,Date,Source,Currency Used
Whataburger,3.56,114.17,301.04,118.8,Eating/Drinking Out,2024-05-10,Discover It Cashback,USD
Cuts by Them,60.5,1940.17,"5,115.95","2,018.92",Miscellaneous,2024-05-12,Chase Freedom Flex,USD
Chick-fil-A,3.19,102.3,269.75,106.45,Eating/Drinking Out,2024-05-14,Discover It Cashback,USD
Google One,3.19,102.3,269.75,106.45,Subscriptions,2024-05-14,Discover It Cashback,USD
Monthly Service Fee,10,320.69,845.61,333.71,Fees,2024-05-15,WF Checking,USD
Twin Liquors,13.85,444.16,"1,171.17",462.18,Groceries,2024-05-15,Chase Checking,USD
Monthly Service Fee,12,384.83,"1,014.73",400.45,Fees,2024-05-15,Chase Checking,USD
Electricity & Internet,95.18,3052.33,"8,048.53","3,176.20",Utilities,2024-05-16,Chase Checking,USD
Apple,20.57,659.66,"1,739.42",686.43,Tech,2024-05-18,Chase Freedom Flex,USD
Costco,20,641.38,"1,691.22",667.41,Apparel,2024-05-19,Chase Checking,USD
Taco Bell,15.25,489.05,"1,289.56",508.9,Eating/Drinking Out,2024-05-20,WF Checking,USD
Whataburger,4.44,142.39,375.45,148.17,Eating/Drinking Out,2024-05-21,Chase Freedom Flex,USD
Buc-ee's,34.11,1093.87,"2,884.38","1,138.27",Gas,2024-05-21,WF Checking,USD
QDOBA,12.62,404.71,"1,067.16",421.14,Eating/Drinking Out,2024-05-21,WF Checking,USD
Ultra Mobile,28.06,899.86,"2,372.79",936.38,Utilities,2024-05-21,WF Checking,USD
Wendy's,11.15,357.57,942.86,372.08,Eating/Drinking Out,2024-05-22,WF Checking,USD
Amy's,12.97,415.93,"1,096.76",432.82,Eating/Drinking Out,2024-05-22,Chase Freedom Flex,USD
Interest,14.5,465,"1,226.14",483.87,Fees,2024-05-22,UFCU Platinum Cashback,USD
Insurance Debt Protection,2.2,70.55,186.03,73.42,Fees,2024-05-22,UFCU Platinum Cashback,USD
Airtel,10.63,340.94,899,354.77,Utilities,2024-05-22,Axis Bank Savings,INR
Spotify,6.48,207.81,547.96,216.24,Subscriptions,2024-05-23,Discover It Cashback,USD
Far EasTone,56.13,1800,"4,746.33","1,873.05",Utilities,2024-05-23,Cash,TWD
iPass,12.47,400,"1,054.74",416.23,Travel,2024-05-23,Cash,TWD
Beauty Hotels Taipei - Hotel B7,41.24,1322.53,"3,487.30","1,376.20",Travel,2024-05-23,WF Checking,USD
FamilyMart,5.49,176,464.09,183.14,Eating/Drinking Out,2024-05-23,Cash,TWD
Pradhan Mantri Suraksha Bima Yojana Premium,0.24,7.58,20,7.89,Miscellaneous,2024-05-23,Bank of Baroda Savings,INR
Olympia Bakery,1.56,50,131.84,52.03,Eating/Drinking Out,2024-05-24,Cash,TWD
Uber,18.31,587.18,"1,548.31",611.01,Travel,2024-05-24,WF Checking,USD
Rent,311.83,10000,"26,368.51","10,405.84",Rent,2024-05-24,Cash,TWD
Mydesy Cafe,4.99,160,421.9,166.49,Eating/Drinking Out,2024-05-24,Cash,TWD
Ikea,10.16,325.82,859.14,339.04,Miscellaneous,2024-05-24,WF Checking,USD
McDonald's,4.16,133.41,351.77,138.82,Eating/Drinking Out,2024-05-24,CapitalOne Checking,USD
Carrefour,3.43,110,290.05,114.46,Groceries,2024-05-25,Cash,TWD
MWD Cafe,4.37,140,369.16,145.68,Eating/Drinking Out,2024-05-25,Cash,TWD
Shin Kong Mitsukoshi,0.78,25,65.92,26.01,Groceries,2024-05-25,Cash,TWD
Ikea,19.6,628.55,"1,657.40",654.06,Miscellaneous,2024-05-25,WF Checking,USD
Ikea,4.76,152.65,402.51,158.84,Eating/Drinking Out,2024-05-25,WF Checking,USD
7-Eleven,0.9,29,76.47,30.18,Eating/Drinking Out,2024-05-25,Cash,TWD
7-Eleven,4.02,129,340.15,134.24,Eating/Drinking Out,2024-05-25,Cash,TWD
Taipei 101 Gift Shop,1.91,61.25,161.51,63.74,Miscellaneous,2024-05-26,WF Checking,USD
KadoKado (Taipei 101),10.55,338.33,892.12,352.06,Eating/Drinking Out,2024-05-26,WF Checking,USD
R9 Cafe,6.24,200,527.37,208.12,Eating/Drinking Out,2024-05-26,Cash,TWD
Carrefour,23.85,764.85,"2,016.78",795.89,Groceries,2024-05-26,Cash,TWD
ATM Fee,5,160.35,422.81,166.85,Fees,2024-05-26,WF Checking,USD
CLD Office,24.63,790,"2,083.11",822.06,Education,2024-05-27,Cash,TWD
MWD Cafe,1.56,50,131.84,52.03,Eating/Drinking Out,2024-05-27,Cash,TWD
Buddha Vegetarian Paradise,4.68,150,395.53,156.09,Eating/Drinking Out,2024-05-27,Cash,TWD
Carrefour,6.07,194.66,513.29,202.56,Groceries,2024-05-27,Cash,TWD
Jia Shi Fang Canteen,1.4,45,118.66,46.83,Eating/Drinking Out,2024-05-28,Cash,TWD
ATM Fee,5,160.35,422.81,166.85,Fees,2024-05-28,WF Checking,USD
ATM Fee,5,160.35,422.81,166.85,Fees,2024-05-28,WF Checking,USD
Carrefour,15.7,503.48,"1,327.61",523.92,Groceries,2024-05-28,WF Checking,USD
7-Eleven,0.94,30,79.11,31.22,Eating/Drinking Out,2024-05-28,Cash,TWD
7-Eleven,0.87,28,73.83,29.14,Eating/Drinking Out,2024-05-28,Cash,TWD
FamilyMart,1.93,62,163.48,64.52,Eating/Drinking Out,2024-05-29,Cash,TWD
Target Bakery,2.49,80,210.95,83.25,Eating/Drinking Out,2024-05-29,Cash,TWD
Daiso,4.33,139,366.52,144.64,Miscellaneous,2024-05-29,Cash,TWD
Uber Eats,12.02,385.47,"1,016.43",401.11,Eating/Drinking Out,2024-05-29,WF Checking,USD
T-Pass,37.42,1200,"3,164.22","1,248.70",Travel,2024-05-29,Cash,TWD
iPass Reload,18.71,600,"1,582.11",624.35,Travel,2024-05-29,Cash,TWD
Jia Shi Fang Canteen,1.4,45,118.66,46.83,Eating/Drinking Out,2024-05-30,Cash,TWD
Laundry,2.49,80,210.95,83.25,Miscellaneous,2024-05-30,Cash,TWD
Macho Tacos,28.28,907,"2,391.62",943.81,Eating/Drinking Out,2024-05-30,Cash,TWD
Jia Shi Fang Canteen,1.4,45,118.66,46.83,Eating/Drinking Out,2024-05-31,Cash,TWD
白帝城川式滷味(公館店）,3.74,120,316.42,124.87,Eating/Drinking Out,2024-05-31,Cash,TWD
Street Food,2.25,72,189.85,74.92,Eating/Drinking Out,2024-05-31,Cash,TWD
89 Loop Sports Bar,9.35,300,791.06,312.18,Eating/Drinking Out,2024-05-31,Cash,TWD
FamilyMart,1.09,35,92.29,36.42,Eating/Drinking Out,2024-06-01,Cash,TWD
Vegan Taipei,3.8,121.86,321.33,126.81,Eating/Drinking Out,2024-06-01,WF Checking,USD
Pizza Bear Cafe,18.02,578,"1,524.10",601.46,Eating/Drinking Out,2024-06-01,Cash,TWD
Uber,2.85,91.4,241,95.11,Travel,2024-06-01,WF Checking,USD
Rent,927.49,29743.68,"78,429.63","30,950.81",Rent,2024-06-02,WF Checking,USD
Mister Donut,1.2,38.48,101.47,40.04,Eating/Drinking Out,2024-06-02,CapitalOne Checking,USD
Carrefour,12.14,389.32,"1,026.57",405.12,Groceries,2024-06-02,WF Checking,USD
Carrefour,5.61,179.91,474.39,187.21,Groceries,2024-06-02,WF Checking,USD
ATM Fee,5,160.35,422.81,166.85,Fees,2024-06-02,WF Checking,USD
Interest,21.16,678.58,"1,789.31",706.12,Fees,2024-06-02,Discover It Cashback,USD
Laundry,1.25,40,105.47,41.62,Miscellaneous,2024-06-02,Cash,TWD
Jia Shi Fang Canteen,1.4,45,118.66,46.83,Eating/Drinking Out,2024-06-03,Cash,TWD
NTU Main Library,0.12,4,10.55,4.16,Education,2024-06-03,Cash,TWD
Jin Shing Fa,2.15,68.95,181.81,71.75,Groceries,2024-06-03,WF Checking,USD
Family Mart,3.67,117.69,310.34,122.47,Eating/Drinking Out,2024-06-03,CapitalOne Checking,USD
Jia Shi Fang Canteen,1.4,45,118.66,46.83,Eating/Drinking Out,2024-06-04,Cash,TWD
Carrefour,19.36,621,"1,637.48",646.2,Groceries,2024-06-04,Cash,TWD
Jia Shi Fang Canteen,1.4,45,118.66,46.83,Eating/Drinking Out,2024-06-05,Cash,TWD
Carrefour,8.2,262.97,693.4,273.64,Groceries,2024-06-05,CapitalOne Checking,USD
Uber Eats,9.3,298.24,786.42,310.35,Eating/Drinking Out,2024-06-05,WF Checking,USD
Debit Card Fee,4.19,134.25,354,139.7,Fees,2024-06-05,Axis Bank Savings,INR
Jia Shi Fang Canteen,1.4,45,118.66,46.83,Eating/Drinking Out,2024-06-06,Cash,TWD
Cosmed,12.44,399,"1,052.10",415.19,Miscellaneous,2024-06-06,Cash,TWD
Laundry,1.25,40,105.47,41.62,Miscellaneous,2024-06-06,Cash,TWD
Jia Shi Fang Canteen,1.4,45,118.66,46.83,Eating/Drinking Out,2024-06-07,Cash,TWD
7-Eleven,2.13,68.31,180.12,71.08,Eating/Drinking Out,2024-06-07,WF Checking,USD
Uber Eats,6.03,193.38,509.9,201.22,Eating/Drinking Out,2024-06-07,WF Checking,USD
Carrefour,1.87,59.97,158.13,62.4,Groceries,2024-06-08,WF Checking,USD
Cama Cafe,6.03,193.38,509.9,201.22,Eating/Drinking Out,2024-06-08,WF Checking,USD
Lucy's,10.55,338.33,892.12,352.06,Apparel,2024-06-08,WF Checking,USD
BaganHood,46.77,1499.87,"3,954.93","1,560.74",Eating/Drinking Out,2024-06-08,WF Checking,USD
Uber Eats,6.97,223.52,589.39,232.59,Eating/Drinking Out,2024-06-09,WF Checking,USD
Family Mart,0.64,20.52,54.12,21.36,Eating/Drinking Out,2024-06-10,WF Checking,USD
Caffe Ruelle,12.78,410,"1,081.11",426.64,Eating/Drinking Out,2024-06-10,Cash,TWD
Uber,6.07,194.66,513.29,202.56,Travel,2024-06-10,WF Checking,USD
Family Mart,2.18,69.91,184.34,72.75,Eating/Drinking Out,2024-06-10,UFCU Platinum Cashback,USD
Family Mart,12.08,387.39,"1,021.50",403.12,Eating/Drinking Out,2024-06-10,WF Checking,USD
Jia Shi Fang Canteen,1.4,45,118.66,46.83,Eating/Drinking Out,2024-06-11,Cash,TWD
Uber Eats,6.19,198.51,523.43,206.56,Eating/Drinking Out,2024-06-11,WF Checking,USD
Jia Shi Fang Canteen,1.09,35,92.29,36.42,Eating/Drinking Out,2024-06-12,Cash,TWD
wowffles,5.46,175,461.45,182.1,Eating/Drinking Out,2024-06-12,Cash,TWD
Jia Shi Fang Canteen,1.09,35,92.29,36.42,Eating/Drinking Out,2024-06-13,Cash,TWD
Uber Eats,9.39,301.13,794.03,313.35,Eating/Drinking Out,2024-06-13,UFCU Checking,USD
Jia Shi Fang Canteen,1.09,35,92.29,36.42,Eating/Drinking Out,2024-06-14,Cash,TWD
Laundry,3.74,120,316.42,124.87,Miscellaneous,2024-06-14,Cash,TWD
Uber Eats,10.13,324.86,856.6,338.04,Eating/Drinking Out,2024-06-14,WF Checking,USD
Carrefour,7.41,237.63,626.6,247.28,Groceries,2024-06-14,UFCU Checking,USD
FamilyMart,2.18,69.91,184.34,72.75,Eating/Drinking Out,2024-06-15,UFCU Platinum Cashback,USD
ATM Fee,5,160.35,422.81,166.85,Fees,2024-06-15,WF Checking,USD
Zhongshen Artisan Market,46.77,1500,"3,955.28","1,560.88",Apparel,2024-06-15,Cash,TWD
Many Stationey,10.42,334,880.71,347.56,Miscellaneous,2024-06-15,Cash,TWD
COMEBUY Tea,2.81,90,237.32,93.65,Eating/Drinking Out,2024-06-15,Cash,TWD
FamilyMart,1.72,55.16,145.45,57.4,Eating/Drinking Out,2024-06-15,UFCU Checking,USD
Yangming Spring Creative Vegetarian Cuisine,8.42,270,711.95,280.96,Eating/Drinking Out,2024-06-16,Cash,TWD
Google One,3.19,102.3,269.75,106.45,Subscriptions,2024-06-16,WF Checking,USD
iCloud+,2.99,95.89,252.84,99.78,Subscriptions,2024-06-16,WF Checking,USD
Uber Eats,7.15,229.29,604.61,238.6,Eating/Drinking Out,2024-06-16,UFCU Checking,USD
Carrefour,4.78,153.29,404.2,159.51,Eating/Drinking Out,2024-06-16,UFCU Platinum Cashback,USD
Jia Shi Fang Canteen,1.09,35,92.29,36.42,Eating/Drinking Out,2024-06-17,Cash,TWD
Target Bakery,0.94,30,79.11,31.22,Eating/Drinking Out,2024-06-17,Cash,TWD
Macho Tacos,5.77,185,487.82,192.51,Eating/Drinking Out,2024-06-17,Cash,TWD
Carrefour,8.91,285.73,753.44,297.33,Groceries,2024-06-17,CapitalOne Checking,USD
Monthly Service Fee,12,384.83,"1,014.73",400.45,Fees,2024-06-17,Chase Checking,USD
Monthly Service Fee,10,320.69,845.61,333.71,Fees,2024-06-17,WF Checking,USD
Jia Shi Fang Canteen,1.09,35,92.29,36.42,Eating/Drinking Out,2024-06-18,Cash,TWD
MOS Burger,5.57,178.62,471.01,185.87,Eating/Drinking Out,2024-06-18,CapitalOne Checking,USD
Carrefour,4.42,141.74,373.76,147.5,Eating/Drinking Out,2024-06-18,CapitalOne Checking,USD
Jia Shi Fang Canteen,1.09,35,92.29,36.42,Eating/Drinking Out,2024-06-19,Cash,TWD
Carrefour,1.21,38.8,102.32,40.38,Eating/Drinking Out,2024-06-19,CapitalOne Checking,USD
Pizza Rock,5.89,189,498.36,196.67,Eating/Drinking Out,2024-06-19,Cash,TWD
Pizza Rock,1.7,54.52,143.75,56.73,Eating/Drinking Out,2024-06-19,CapitalOne Checking,USD
Jia Shi Fang Canteen,1.09,35,92.29,36.42,Eating/Drinking Out,2024-06-20,Cash,TWD
ATM Fee,5,178.62,422.81,166.85,Fees,2024-06-20,WF Checking,USD
FamilyMart,1.09,35,92.29,36.42,Eating/Drinking Out,2024-06-20,Cash,TWD
Macho Tacos,20.89,670,"1,766.69",697.19,Eating/Drinking Out,2024-06-20,Cash,TWD
Carrefour,9.73,312,822.7,324.66,Eating/Drinking Out,2024-06-20,Cash,TWD
Jia Shi Fang Canteen,1.09,35,92.29,36.42,Eating/Drinking Out,2024-06-21,Cash,TWD
FamilyMart,1.09,35,92.29,36.42,Eating/Drinking Out,2024-06-21,Cash,TWD
Carrefour,9.82,315,830.61,327.78,Groceries,2024-06-21,Cash,TWD
Rent,308.71,9900,"26,104.82","10,301.79",Rent,2024-06-21,Cash,TWD
Uber Eats,6.16,197.55,520.9,205.56,Eating/Drinking Out,2024-06-21,WF Checking,USD
Laundry,3.74,120,316.42,124.87,Miscellaneous,2024-06-22,Cash,TWD
FamilyMart,2.49,80,210.95,83.25,Eating/Drinking Out,2024-06-22,Cash,TWD
Jioufen Tea House,17.15,550,"1,450.27",572.32,Eating/Drinking Out,2024-06-22,Cash,TWD
Jioufen Waffle Shop,4.99,160,421.9,166.49,Eating/Drinking Out,2024-06-22,Cash,TWD
Interest,14.73,472.38,"1,245.59",491.55,Fees,2024-06-22,UFCU Platinum Cashback,USD
Insurance Debt Protection,2.2,70.55,186.03,73.42,Fees,2024-06-22,UFCU Platinum Cashback,USD
Taxi,3.12,100,263.69,104.06,Travel,2024-06-23,Cash,TWD
Local Train,5.28,169.32,446.48,176.2,Travel,2024-06-23,WF Checking,USD
Fulong Beach Entry,6.86,220,580.11,228.93,Travel,2024-06-23,Cash,TWD
Waves Taco,8.2,262.97,693.4,273.64,Eating/Drinking Out,2024-06-23,WF Checking,USD
Jia Shi Fang Canteen,1.09,35,92.29,36.42,Eating/Drinking Out,2024-06-24,Cash,TWD
ATM Fee,5,160.35,422.81,166.85,Fees,2024-06-24,WF Checking,USD
CosMed,12.44,399,"1,052.10",415.19,Miscellaneous,2024-06-24,Cash,TWD
Jia Shi Fang Canteen,1.09,35,92.29,36.42,Eating/Drinking Out,2024-06-25,Cash,TWD
9 Days Coffee,2.96,95,250.5,98.86,Eating/Drinking Out,2024-06-25,Cash,TWD
Electricity & Internet,109.9,3524.38,"9,293.27","3,667.42",Utilities,2024-06-25,WF Checking,USD
7-Eleven,0.86,27.58,72.72,28.7,Eating/Drinking Out,2024-06-25,CapitalOne Checking,USD
Jia Shi Fang Canteen,1.09,35,92.29,36.42,Eating/Drinking Out,2024-06-26,Cash,TWD
Gakuden Boulangerie,1.87,60,158.21,62.44,Eating/Drinking Out,2024-06-26,Cash,TWD
Ching Shin Fu Chuan Tea Station,2.18,70,184.58,72.84,Eating/Drinking Out,2024-06-26,Cash,TWD
SMS Charges,0,0.09,0.24,0.09,Fees,2024-06-26,Bank of Baroda Savings,INR
FamilyMart,1.09,35,92.29,36.42,Eating/Drinking Out,2024-06-27,Cash,TWD
Jia Shi Fang Canteen,1.09,35,92.29,36.42,Eating/Drinking Out,2024-06-27,Cash,TWD
FamilyMart,1.09,35,92.29,36.42,Eating/Drinking Out,2024-06-27,CapitalOne Checking,USD
Shine Mood Waffle,2.49,80,210.95,83.25,Eating/Drinking Out,2024-06-27,Cash,TWD
Carrefour,21.82,699.75,"1,845.12",728.14,Groceries,2024-06-27,WF Checking,USD
Jia Shi Fang Canteen,1.09,35,92.29,36.42,Eating/Drinking Out,2024-06-28,Cash,TWD
Carrefour,1.18,38,100.2,39.54,Eating/Drinking Out,2024-06-28,Cash,TWD
Laundry,2.49,80,210.95,83.25,Miscellaneous,2024-06-28,Cash,TWD
FamilyMart,1.08,34.63,91.33,36.04,Eating/Drinking Out,2024-06-28,CapitalOne Checking,USD
Revolver,28.06,900,"2,373.17",936.53,Entertainment,2024-06-28,Cash,TWD
The Wall,9.35,300,791.06,312.18,Entertainment,2024-06-28,Cash,TWD
Hala Planet,2.81,90,237.32,93.65,Entertainment,2024-06-28,Cash,TWD
MOS Burger,7.02,225,593.29,234.13,Eating/Drinking Out,2024-06-29,Cash,TWD
FamilyMart,1.42,45.54,120.08,47.39,Eating/Drinking Out,2024-06-29,WF Checking,USD
Uber,9.5,304.66,803.33,317.02,Travel,2024-06-29,WF Checking,USD
Laundry,1.25,40,105.47,41.62,Miscellaneous,2024-06-29,Cash,TWD
Uber Eats,10.79,346.02,912.41,360.07,Eating/Drinking Out,2024-06-29,WF Checking,USD
Saizeriya,12.94,415,"1,094.29",431.84,Eating/Drinking Out,2024-06-30,Cash,TWD
Thai Lion Air,96.52,3095.3,"8,161.84","3,220.92",Travel,2024-06-30,Chungwa Post Bank Passbook,TWD
Thai Air Asia,108.1,6874,"9,141.06","3,607.35",Travel,2024-06-30,Chungwa Post Bank Passbook,TWD
Jia Shi Fang Canteen,1.25,40,105.47,41.62,Eating/Drinking Out,2024-07-01,Cash,TWD
IKEA,6.8,218,574.83,226.85,Eating/Drinking Out,2024-07-01,Cash,TWD
IKEA,6.83,219,577.47,227.89,Groceries,2024-07-01,Cash,TWD
Jia Shi Fang Canteen,1.25,40,105.47,41.62,Eating/Drinking Out,2024-07-02,Cash,TWD
Touch Cafe,1.59,50.99,134.45,53.06,Eating/Drinking Out,2024-07-02,WF Checking,USD
Interest,20.83,668,"1,761.41",695.11,Fees,2024-07-02,Discover It Cashback,USD
Jia Shi Fang Canteen,1.25,40,105.47,41.62,Eating/Drinking Out,2024-07-03,Cash,TWD
Rent,927.49,29743.68,"78,429.63","30,950.81",Rent,2024-07-03,WF Checking,USD
Vending Machine,1.25,40,105.47,41.62,Eating/Drinking Out,2024-07-03,Cash,TWD
MORE FIT,15.59,500,"1,318.43",520.29,Miscellaneous,2024-07-03,Chungwa Post Bank Passbook,TWD
PX Mart,5.86,188,495.73,195.63,Groceries,2024-07-03,Chungwa Post Bank Passbook,TWD
Uber Eats,6.2,198.83,524.28,206.9,Eating/Drinking Out,2024-07-03,Chase Freedom Flex,TWD
Jia Shi Fang Canteen,1.25,40,105.47,41.62,Eating/Drinking Out,2024-07-04,Cash,TWD
Carrefour,2.28,73.12,192.8,76.08,Groceries,2024-07-04,WF Checking,USD
Hannah Laundry,0.62,20,52.74,20.81,Miscellaneous,2024-07-04,Cash,TWD
Jia Shi Fang Canteen,1.25,40,105.47,41.62,Eating/Drinking Out,2024-07-05,Cash,TWD
CosMed,5.86,188,495.73,195.63,Miscellaneous,2024-07-05,Chungwa Post Bank Passbook,TWD
Carrefour,2.78,89,234.68,92.61,Groceries,2024-07-05,Chungwa Post Bank Passbook,TWD
Laundry,1.25,40,105.47,41.62,Miscellaneous,2024-07-05,Cash,TWD
Revolver,20.27,650,"1,713.95",676.38,Entertainment,2024-07-05,Cash,TWD
NALA's Mexican Food,4.99,160,421.9,166.49,Eating/Drinking Out,2024-07-06,Cash,TWD
Coffee.Tea.Or,3.43,110,290.05,114.46,Eating/Drinking Out,2024-07-06,Cash,TWD
Carrefour,2.29,73.44,193.65,76.42,Groceries,2024-07-06,Chase Freedom Flex,USD
Local Train,4.49,144,379.71,149.84,Travel,2024-07-07,Chungwa Post Bank Passbook,TWD
FamilyMart,1.11,35.6,93.86,37.04,Eating/Drinking Out,2024-07-07,Chase Freedom Flex,USD
Lou-A-Chu,12.47,400,"1,054.74",416.23,Eating/Drinking Out,2024-07-07,Cash,TWD
Food Stall,3.12,100,263.69,104.06,Eating/Drinking Out,2024-07-07,Cash,TWD
Houtong Gift Shop,10.6,340,896.53,353.8,Miscellaneous,2024-07-07,Cash,TWD
FamilyMart,2.67,85.62,225.78,89.1,Eating/Drinking Out,2024-07-07,Chase Freedom Flex,USD
Electricity & Internet,94.72,3037.58,"8,009.63","3,160.85",Utilities,2024-07-08,WF Checking,USD
Jia Shi Fang Canteen,1.25,40,105.47,41.62,Eating/Drinking Out,2024-07-08,Cash,TWD
KFC,3.4,109.03,287.51,113.46,Eating/Drinking Out,2024-07-08,CapitalOne Checking,USD
Ying Junzi Vegetarian Noodles Store,2.34,75,197.76,78.04,Eating/Drinking Out,2024-07-08,Cash,TWD
Vending Machine,1.4,45,118.66,46.83,Eating/Drinking Out,2024-07-09,Cash,TWD
Jia Shi Fang Canteen,1.25,40,105.47,41.62,Eating/Drinking Out,2024-07-09,Cash,TWD
Vending Machine,0.62,20,52.74,20.81,Eating/Drinking Out,2024-07-09,Cash,TWD
yet coffee x deep work ,4.99,160,421.9,166.49,Eating/Drinking Out,2024-07-09,Cash,TWD
Jia Shi Fang Canteen,1.25,40,105.47,41.62,Eating/Drinking Out,2024-07-10,Cash,TWD
Hi-Life,0.89,28.54,75.26,29.7,Eating/Drinking Out,2024-07-10,Chase Freedom Flex,USD
Uber,7.17,230,606.48,239.33,Travel,2024-07-10,Cash,TWD
LUX CINEMA,8.73,280,738.32,291.36,Entertainment,2024-07-10,Cash,TWD
99 King of Thailand,11.54,370,975.63,385.02,Eating/Drinking Out,2024-07-10,Cash,TWD
Coco Bar,5.77,185,487.82,192.51,Entertainment,2024-07-10,Cash,TWD
FamilyMart,2.98,95.57,251.99,99.44,Eating/Drinking Out,2024-07-10,Chase Freedom Flex,USD
Jia Shi Fang Canteen,1.25,40,105.47,41.62,Eating/Drinking Out,2024-07-11,Cash,TWD
Vending Machine,0.62,20,52.74,20.81,Eating/Drinking Out,2024-07-11,Cash,TWD
Uber Eats,9.36,300.17,791.49,312.35,Eating/Drinking Out,2024-07-11,CapitalOne Checking,USD
Jia Shi Fang Canteen,1.25,40,105.47,41.62,Eating/Drinking Out,2024-07-12,Cash,TWD
FamilyMart,1.78,57.08,150.52,59.4,Eating/Drinking Out,2024-07-12,Chase Freedom Flex,USD
Skyline Park Beer Bar,15.28,490,"1,292.06",509.89,Eating/Drinking Out,2024-07-12,Cash,TWD
FamilyMart,3.86,123.79,326.41,128.81,Eating/Drinking Out,2024-07-12,CapitalOne Checking,USD
Uber,4.57,146.56,386.44,152.5,Travel,2024-07-12,CapitalOne Checking,USD
Mana,58.62,1880,"4,957.28","1,956.30",Apparel,2024-07-13,Cash,TWD
H&M,10.75,344.74,909.03,358.73,Apparel,2024-07-13,CapitalOne Checking,USD
7-Eleven,0.86,27.58,72.72,28.7,Eating/Drinking Out,2024-07-13,CapitalOne Checking,USD
Gan Mei Alley,9.35,300,791.06,312.18,Eating/Drinking Out,2024-07-13,Cash,TWD
Cosmed,9.95,319.09,841.38,332.04,Apparel,2024-07-13,CapitalOne Checking,USD
Hannah Vending Machine,1.09,35,92.29,36.42,Eating/Drinking Out,2024-07-13,Cash,TWD
FamilyMart,3.11,99.73,262.99,103.78,Eating/Drinking Out,2024-07-13,CapitalOne Checking,USD
G Star Club,15.59,500,"1,318.43",520.29,Entertainment,2024-07-13,Cash,TWD
Uber Eats,7.11,228.01,601.23,237.26,Eating/Drinking Out,2024-07-14,CapitalOne Checking,USD
Vending Machine,0.78,25,65.92,26.01,Eating/Drinking Out,2024-07-14,Cash,TWD
Jia Shi Fang Canteen,1.25,40,105.47,41.62,Eating/Drinking Out,2024-07-15,Cash,TWD
FamilyMart,3.17,101.66,268.06,105.78,Eating/Drinking Out,2024-07-15,Chase Freedom Flex,USD
UBike ,0.62,20,52.74,20.81,Travel,2024-07-15,Cash,TWD
National Taiwan Science Education Center,2.18,70,184.58,72.84,Entertainment,2024-07-15,Cash,TWD
Hong Lin Vegetarian Restaurant,8.42,270,711.95,280.96,Eating/Drinking Out,2024-07-15,Cash,TWD
Milksha ,2.34,75,197.76,78.04,Eating/Drinking Out,2024-07-15,Cash,TWD
Jia Shi Fang Canteen,1.25,40,105.47,41.62,Eating/Drinking Out,2024-07-16,Cash,TWD
CAFE!N,1.87,60,158.21,62.44,Eating/Drinking Out,2024-07-16,Cash,TWD
Saizeriya,6.24,200,527.37,208.12,Eating/Drinking Out,2024-07-16,Cash,TWD
Carrefour,4.06,130.2,343.32,135.48,Eating/Drinking Out,2024-07-16,CapitalOne Checking,USD
Monthly Service Fee,10,320.69,845.61,333.71,Fees,2024-07-16,WF Checking,USD
Monthly Service Fee,12,384.83,"1,014.73",400.45,Fees,2024-07-16,Chase Checking,USD
Jia Shi Fang Canteen,1.25,40,105.47,41.62,Eating/Drinking Out,2024-07-17,Cash,TWD
Touch Cafe,1.38,44.26,116.69,46.05,Eating/Drinking Out,2024-07-17,CapitalOne Checking,USD
iCloud+,2.99,95.89,252.84,99.78,Subscriptions,2024-07-17,WF Checking,USD
Google One,3.19,102.3,269.75,106.45,Subscriptions,2024-07-17,WF Checking,USD
Jia Shi Fang Canteen,1.25,40,105.47,41.62,Eating/Drinking Out,2024-07-18,Cash,TWD
FamilyMart,1.97,63.18,166.59,65.74,Eating/Drinking Out,2024-07-18,CapitalOne Checking,USD
Decathlon,7.65,245.33,646.89,255.28,Apparel,2024-07-18,CapitalOne Checking,USD
Uber Eats,7.99,256.23,675.64,266.63,Eating/Drinking Out,2024-07-18,CapitalOne Checking,USD
Jia Shi Fang Canteen,1.25,40,105.47,41.62,Eating/Drinking Out,2024-07-19,Cash,TWD
Oba Friend Buns,2.49,80,210.95,83.25,Eating/Drinking Out,2024-07-19,Cash,TWD
Grilled Oyster Mushroom,3.12,100,263.69,104.06,Eating/Drinking Out,2024-07-19,Cash,TWD
FamilyMart,0.92,29.5,77.8,30.7,Eating/Drinking Out,2024-07-19,CapitalOne Checking,USD
foodpanda,8.11,260.08,685.79,270.63,Eating/Drinking Out,2024-07-20,WF Checking,USD
Vending Machine,0.78,25,65.92,26.01,Eating/Drinking Out,2024-07-20,Cash,TWD
Laundry,2.49,80,210.95,83.25,Miscellaneous,2024-07-20,Cash,TWD
Maokong Gondola,3.66,117.37,309.49,122.14,Travel,2024-07-21,CapitalOne Checking,USD
Hi-Life,1.95,62.53,164.89,65.07,Eating/Drinking Out,2024-07-21,CapitalOne Checking,USD
Ultra Mobile,28.12,901.78,"2,377.86",938.38,Utilities,2024-07-21,Discover It Cashback,USD
Uber Eats,13.12,420.75,"1,109.44",437.82,Eating/Drinking Out,2024-07-21,CapitalOne Checking,USD
